,Elapsed time,P6 (kPa),P1 (kPa),P2 (kPa),P3 (kPa),P4 (kPa),P5 (kPa),Air Flow (L/s),Water Flow (L/s)
1285,18:15:36.841000,35.64,-2.563,269.617,124.606,101.707,59.903,15.638,1.849
1290,18:15:37.339000,38.701,-1.352,270.541,123.285,85.858,65.449,15.649,1.866
1295,18:15:37.840000,31.221,-1.403,270.05,122.407,104.529,67.448,15.871,1.967
1300,18:15:38.341000,16.494,-0.685,268.863,125.956,94.819,56.065,15.681,2.054
1305,18:15:38.840000,23.737,-0.478,268.617,115.711,106.415,55.335,15.717,2.035
1310,18:15:39.339000,58.371,-1.204,269.872,121.194,97.819,63.45,15.559,2.018
1315,18:15:39.840000,47.093,-0.872,269.199,120.031,106.223,57.969,15.62,1.948
1320,18:15:40.340000,36.955,-0.92,269.802,114.185,97.963,45.286,15.646,1.892
1325,18:15:40.839000,42.382,-0.847,267.615,120.285,90.204,54.217,15.486,1.868
1335,18:15:41.840000,54.085,-0.489,269.23,116.359,99.216,67.039,15.595,1.894
1340,18:15:42.339000,39.984,0.143,268.639,118.182,89.168,84.169,15.555,1.988
1345,18:15:42.840000,13.23,-0.045,267.56,116.39,101.436,61.389,15.454,1.976
1350,18:15:43.342000,47.179,0.234,269.214,121.948,86.955,85.769,15.588,1.925
1355,18:15:43.841000,11.306,0.607,266.933,118.984,98.714,27.96,15.711,1.9
1360,18:15:44.339000,48.005,0.485,265.594,106.937,78.312,72.12,15.579,1.909
1365,18:15:44.840000,11.957,0.416,267.387,118.987,81.457,82.222,14.812,1.962
1370,18:15:45.339000,12.592,0.094,265.953,99.337,93.803,32.952,14.123,2.01
1375,18:15:45.839000,16.03,0.445,263.971,104.515,68.656,67.172,13.779,2.026
1380,18:15:46.340000,27.536,0.492,264.544,108.996,95.473,52.776,13.658,2.068
1385,18:15:46.841000,25.837,0.355,269.208,112.246,79.635,73.151,13.781,2.083
1390,18:15:47.339000,6.006,0.936,264.874,115.684,89.631,41.77,13.69,2.065
1395,18:15:47.839000,29.944,0.891,267.002,109.263,96.076,76.701,13.646,2.071
1400,18:15:48.339000,13.223,0.491,266.303,117.241,79.399,71.784,13.666,2.051
1405,18:15:48.839000,12.492,0.545,266.323,110.293,92.84,66.572,13.734,2.023
1410,18:15:49.340000,21.862,0.227,266.195,105.556,94.741,63.335,13.558,1.986
1415,18:15:49.841000,34.121,1.012,267.315,116.128,92.258,55.63,13.532,1.996
1420,18:15:50.340000,42.356,0.105,265.953,108.261,82.544,46.466,13.627,1.999
1425,18:15:50.839000,35.422,-0.321,265.426,113.152,93.181,48.768,13.53,1.991
1430,18:15:51.340000,46.585,-1.325,266.344,113.942,96.496,60.355,13.486,1.971
1435,18:15:51.840000,38.325,-1.228,267.528,118.055,98.051,60.15,13.833,1.951
1440,18:15:52.340000,64.28,-1.875,270.204,123.201,109.863,69.834,14.852,1.982
1445,18:15:52.840000,54.182,-1.995,271.06,135.209,110.44,71.295,16.378,2.016
1450,18:15:53.339000,43.131,-2.027,271.816,141.031,117.898,60.65,17.321,1.955
1455,18:15:53.839000,47.545,-2.359,272.667,136.716,113.181,70.485,17.77,1.885
1460,18:15:54.339000,59.403,-2.525,272.407,136.033,119.871,64.508,17.912,1.898
1465,18:15:54.840000,58.856,-1.782,272.997,132.288,118.254,69.987,17.988,1.904
1470,18:15:55.339000,57.4,-2.035,270.62,130.221,107.44,71.963,18.052,1.917
1475,18:15:55.840000,24.604,-1.654,271.458,128.865,99.966,91.058,18.094,2.018
1480,18:15:56.340000,14.255,-1.432,270.795,120.67,97.06,89.924,18.203,1.988
1485,18:15:56.840000,15.957,-1.431,270.264,129.473,104.275,41.175,18.283,1.832
1490,18:15:57.339000,29.425,-1.123,272.293,126.735,105.341,78.151,17.954,1.82
1495,18:15:57.840000,59.381,-1.418,272.804,127.949,109.383,64.562,17.944,1.892
1500,18:15:58.339000,23.291,-1.839,270.441,125.392,108.538,44.012,17.955,1.933
1505,18:15:58.838000,26.331,-1.515,270.377,124.778,97.575,59.211,18.013,1.994
1510,18:15:59.340000,19.04,-1.228,271.383,130.64,92.376,82.605,17.988,2.025
1515,18:15:59.839000,35.68,-1.014,272.36,122.534,107.248,60.943,17.938,1.99
1520,18:16:00.338000,68.264,-1.036,268.126,119.005,86.572,74.315,18.107,1.984
1525,18:16:00.847000,35.703,-0.433,270.286,126.286,87.39,58.061,17.954,1.956
1530,18:16:01.346000,19.568,-0.532,269.128,119.004,99.414,64.662,17.052,1.923
1535,18:16:01.838000,44.662,-0.484,264.513,99.651,88.92,51.568,14.893,1.916
1540,18:16:02.340000,8.264,-1.273,263.777,89.152,59.888,17.034,12.764,1.969
1545,18:16:02.840000,20.088,-1.355,263.49,89.035,67.387,54.799,11.965,2.064
1550,18:16:03.339000,22.501,-0.89,262.44,94.254,76.787,58.234,11.772,2.033
1555,18:16:03.838000,38.143,-0.882,264.414,99.667,85.054,43.36,11.826,2.012
1560,18:16:04.340000,35.27,-0.32,265.776,97.106,83.372,38.989,11.797,1.987
